Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/Y61.sam
AT1G06860	0
AT1G06870	378
AT1G06880	0
AT1G06890	1446
AT1G06900	269
AT1G06910	39
AT1G06920	0
AT1G06923	0
AT1G06925	0
AT1G06930	0
AT1G06950	946.33
AT1G06960	270
AT1G06970	0.50
AT1G06980	89
AT1G06990	0
AT1G07000	1461.67
AT1G07010	1596.17
AT1G07020	488.83
AT1G07025	0
AT1G07030	516.50
AT1G07040	290.50
AT1G07050	663.50
AT1G07051	0
AT1G07060	0
AT1G07070	258
AT1G07080	1967.00
AT1G07090	841.50
AT1G07100	0
AT1G07110	990
AT1G07119	20.25
AT1G07120	22.08
AT1G07128	146.50
AT1G07130	147.50
AT1G07135	553.83
AT1G07140	2876.17
AT1G07150	81
AT1G07160	9
AT1G07170	460
AT1G07175	4
AT1G07180	880.50
AT1G07190	0
AT1G07200	327
AT1G07210	404
AT1G07220	316
AT1G07230	736.50
AT1G07240	1133.83
AT1G07250	1087.50
AT1G07260	36
AT1G07270	3
AT1G07280	2012.50
AT1G07290	22.50
AT1G07300	63.50
AT1G07310	655
AT1G07320	9818.17
AT1G07330	5
AT1G07340	0
AT1G07350	419.50
AT1G07360	474.50
AT1G07370	174
AT1G07380	98
AT1G07390	11
AT1G07400	12
AT1G07410	85
AT1G07420	962
AT1G07430	9
AT1G07440	1100.67
AT1G07450	36
AT1G07460	0
AT1G07470	346.50
AT1G07473	0.50
AT1G07476	3.83
AT1G07480	389.33
AT1G07485	98.33
AT1G07490	95.33
AT1G07500	7
AT1G07510	377
AT1G07520	71
AT1G07530	320.50
AT1G07540	0
AT1G07550	0
AT1G07560	0
AT1G07570	474.75
AT1G07580	0
AT1G07590	7179.50
AT1G07600	6507.50
AT1G07610	254.33
AT1G07615	92.50
AT1G07620	111
AT1G07630	306.50
AT1G07640	509
AT1G07645	0
AT1G07650	737.50
AT1G07660	598.50
AT1G07670	605.50
AT1G07680	0
AT1G07690	0
AT1G07700	1028.67
AT1G07702	25
AT1G07705	257.50
AT1G07710	8
AT1G07720	1690.50
AT1G07725	177.17
AT1G07728	177.17
AT1G07730	18.00
AT1G07740	58.00
AT1G07745	111
AT1G07747	0
AT1G07750	665.50
AT1G07760	0
AT1G07770	6471.41
AT1G07780	957.25
AT1G07790	971.50
AT1G07795	0
AT1G07810	428
AT1G07820	1814.50
AT1G07830	236
AT1G07840	265
AT1G07850	0
AT1G07860	0
AT1G07870	132
AT1G07880	29
AT1G07885	0
AT1G07890	15347.92
AT1G07900	43
AT1G07901	75
AT1G07910	96
AT1G07920	7988.93
AT1G07930	7050.39
AT1G07940	6644.24
AT1G07950	406
AT1G07960	535.17
AT1G07970	179.50
AT1G07980	214.50
AT1G07985	14
AT1G07990	322
AT1G08000	200
AT1G08005	4
AT1G08010	357.50
AT1G08030	108.50
AT1G08032	0
AT1G08035	6
AT1G08040	242.50
AT1G08050	418.75
AT1G08060	109
AT1G08065	0
AT1G08070	10
AT1G08080	5
AT1G08090	37
AT1G08100	0
AT1G08110	1151.00
AT1G08115	5
AT1G08120	1.50
AT1G08125	189.50
AT1G08130	157.50
AT1G08135	0
AT1G08140	0.33
AT1G08150	0
AT1G08160	86
AT1G08165	20
AT1G08170	0
AT1G08180	269
AT1G08190	1247.17
AT1G08200	3659.33
AT1G08210	426.50
AT1G08220	102
AT1G08230	308
AT1G08240	0
AT1G08250	733.50
AT1G08260	59
AT1G08270	12
AT1G08280	112.83
AT1G08290	34
