Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/WT2.sam
AT1G08870	0
AT1G08880	1767.83
AT1G08890	371.50
AT1G08900	651
AT1G08910	243
AT1G08920	255
AT1G08930	5199.67
AT1G08940	97
AT1G08950	0
AT1G08960	269.50
AT1G08970	725.50
AT1G08980	2207
AT1G08985	0
AT1G08990	0
AT1G09000	86.50
AT1G09010	1164
AT1G09020	1187.00
AT1G09026	0
AT1G09030	0.50
AT1G09040	31.25
AT1G09050	57.25
AT1G09060	607.50
AT1G09070	7251.50
AT1G09080	89
AT1G09090	16
AT1G09100	493
AT1G09110	0
AT1G09130	4353.50
AT1G09140	1180.00
AT1G09150	623
AT1G09155	1
AT1G09157	0
AT1G09160	715
AT1G09170	36.67
AT1G09176	2
AT1G09180	21.50
AT1G09190	53.50
AT1G09195	112
AT1G09200	2529.67
AT1G09210	3237.50
AT1G09220	27.67
AT1G09230	143
AT1G09240	70
AT1G09245	0
AT1G09250	775.50
AT1G09260	0
AT1G09270	1473.67
AT1G09280	286.67
AT1G09290	167.50
AT1G09300	167.83
AT1G09310	13958.33
AT1G09320	120
AT1G09330	722
AT1G09340	22746.33
AT1G09350	22.50
AT1G09360	0
AT1G09370	10.50
AT1G09380	3.50
AT1G09390	187
AT1G09400	6.50
AT1G09410	18
AT1G09415	281.50
AT1G09420	64
AT1G09421	22.50
AT1G09430	1792
AT1G09440	173.50
AT1G09450	51.50
AT1G09460	19
AT1G09470	31
AT1G09480	42
AT1G09483	0
AT1G09490	699
AT1G09500	61
AT1G09510	0
AT1G09520	270
AT1G09530	182
AT1G09540	0.50
AT1G09550	0
AT1G09560	1123.50
AT1G09570	986.50
AT1G09575	59
AT1G09580	285.50
AT1G09590	3546.17
AT1G09600	13.50
AT1G09610	16
AT1G09620	2336.50
AT1G09625	0
AT1G09630	410
AT1G09640	3715.33
AT1G09645	385
AT1G09650	3
AT1G09660	896.67
AT1G09665	0
AT1G09680	29
AT1G09690	5754
AT1G09700	179.60
AT1G09710	131.50
AT1G09720	0
AT1G09730	407.50
AT1G09740	343.50
AT1G09750	4012.67
AT1G09760	807.50
AT1G09770	1154.50
AT1G09780	3846.50
AT1G09790	0
AT1G09794	70
AT1G09795	2808.00
AT1G09800	75.50
AT1G09810	123.50
AT1G09812	27
AT1G09815	431
AT1G09820	58
AT1G09830	1051.50
AT1G09840	682.17
AT1G09850	814.33
AT1G09860	20.33
AT1G09870	515.50
AT1G09880	8
AT1G09890	10
AT1G09900	290
AT1G09910	310
AT1G09920	601.33
AT1G09930	3
AT1G09932	433.50
AT1G09935	2
AT1G09940	469
AT1G09950	107
AT1G09960	94
AT1G09970	3397.25
AT1G09980	461
AT1G09995	48
AT1G10000	30
AT1G10010	1
AT1G10020	1223
AT1G10030	291
AT1G10040	48
AT1G10050	267.50
AT1G10060	274.00
AT1G10070	119.17
AT1G10090	777.17
AT1G10095	76
AT1G10100	0
AT1G10110	9
AT1G10120	435.50
AT1G10130	807.50
AT1G10140	97
AT1G10150	299
AT1G10155	19
AT1G10170	1110
AT1G10180	246
AT1G10190	0
AT1G10200	1806.33
AT1G10210	147
AT1G10220	3
AT1G10230	191.50
AT1G10240	175.67
AT1G10250	0
AT1G10270	231.50
AT1G10280	157
AT1G10290	2004.50
AT1G10300	1.33
AT1G10310	651.50
AT1G10320	117
AT1G10330	37.50
AT1G10340	255
AT1G10350	272.50
AT1G10360	1066.25
AT1G10370	621
AT1G10380	148
AT1G10385	0.50
AT1G10390	1406.67
AT1G10400	2.50
AT1G10410	413.50
AT1G10417	6
AT1G10430	651
AT1G10440	0
AT1G10450	155.50
AT1G10455	0
AT1G10460	33
AT1G10470	4577.83
AT1G10480	0
AT1G10490	854.00
AT1G10500	1496.50
AT1G10510	1182.50
AT1G10520	22
AT1G10522	613.50
AT1G10530	11.50
AT1G10540	14
AT1G10550	111
AT1G10560	34
AT1G10570	379.50
