Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/R51.sam
AT1G07290	18
AT1G07300	81
AT1G07310	542.50
AT1G07320	8731.11
AT1G07330	6
AT1G07340	0
AT1G07350	531
AT1G07360	642.50
AT1G07370	280.50
AT1G07380	206.75
AT1G07390	80.25
AT1G07400	23
AT1G07410	64
AT1G07420	651.00
AT1G07430	43
AT1G07440	1032.17
AT1G07450	24
AT1G07460	0
AT1G07470	472
AT1G07473	0.50
AT1G07476	4.50
AT1G07480	459.50
AT1G07485	34.50
AT1G07490	34.50
AT1G07500	4
AT1G07510	766
AT1G07520	214
AT1G07530	711
AT1G07540	0
AT1G07550	0
AT1G07560	1
AT1G07570	230.75
AT1G07580	0
AT1G07590	3971.50
AT1G07600	3539.00
AT1G07610	237.33
AT1G07615	146
AT1G07620	316
AT1G07630	659
AT1G07640	555.50
AT1G07645	0
AT1G07650	1738
AT1G07660	377.83
AT1G07670	1432.50
AT1G07680	0
AT1G07690	0
AT1G07700	1335.00
AT1G07702	26.50
AT1G07705	505
AT1G07710	5
AT1G07720	2416
AT1G07725	113.33
AT1G07728	113.33
AT1G07730	21
AT1G07740	74
AT1G07745	95
AT1G07747	0
AT1G07750	482
AT1G07760	0
AT1G07770	3494.92
AT1G07780	664.33
AT1G07790	815
AT1G07795	3.06
AT1G07810	1055.50
AT1G07820	1280.83
AT1G07830	260
AT1G07840	330
AT1G07850	0
AT1G07860	0
AT1G07870	334.50
AT1G07880	49
AT1G07885	5.50
AT1G07890	22199.50
AT1G07900	224.50
AT1G07901	52.50
AT1G07910	403
AT1G07920	10425.32
AT1G07930	8874.91
AT1G07940	7866.30
AT1G07950	302
AT1G07960	515
AT1G07970	299
AT1G07980	266.50
AT1G07985	3
AT1G07990	884
AT1G08000	186
AT1G08005	6
AT1G08010	225.50
AT1G08030	230.50
AT1G08032	0
AT1G08035	3.50
AT1G08040	509.50
AT1G08050	748
AT1G08060	395.50
AT1G08065	0
AT1G08070	31
AT1G08080	0
AT1G08090	6
AT1G08100	0
AT1G08110	1660.50
AT1G08115	2
AT1G08120	4.50
AT1G08125	250.50
AT1G08130	420
AT1G08135	0
AT1G08140	0
AT1G08150	0
AT1G08160	59
AT1G08165	15
AT1G08170	0
AT1G08180	57
AT1G08190	2254.50
AT1G08200	4197.75
AT1G08210	250
AT1G08220	127.50
AT1G08230	161.50
AT1G08240	0
AT1G08250	295
AT1G08260	249.50
AT1G08270	34.50
AT1G08280	96.50
AT1G08290	48
AT1G08300	60.50
AT1G08310	26
AT1G08315	218
AT1G08320	1
AT1G08340	19.50
AT1G08350	191.50
AT1G08360	3796.83
AT1G08370	454.50
AT1G08380	27829.17
AT1G08390	101
AT1G08400	105
AT1G08410	256
AT1G08420	1685.50
AT1G08430	7
AT1G08440	12
AT1G08450	10144.00
AT1G08460	623.50
AT1G08465	342.50
AT1G08470	486
AT1G08480	1366.83
AT1G08490	1251
AT1G08500	44
AT1G08510	2602
AT1G08520	4412.50
AT1G08530	388
AT1G08540	2285.33
AT1G08550	1850
AT1G08560	311
AT1G08570	1674
AT1G08580	505
AT1G08590	64
AT1G08592	37
AT1G08600	475
AT1G08610	108
AT1G08620	579
AT1G08630	9
AT1G08640	2232.50
AT1G08650	1770
AT1G08660	544.50
AT1G08670	0
AT1G08680	545
AT1G08695	0
AT1G08700	503.75
AT1G08710	186.50
AT1G08720	588
AT1G08730	14
AT1G08750	255.50
AT1G08760	296
AT1G08770	328.50
AT1G08780	265.33
AT1G08790	0
AT1G08800	333
AT1G08810	98
AT1G08820	722.50
AT1G08830	7880.83
AT1G08840	968.33
AT1G08845	74
AT1G08860	18
AT1G08870	0
AT1G08880	1547
AT1G08890	316
AT1G08900	633.50
AT1G08910	308
AT1G08920	408
AT1G08930	4498
AT1G08940	169
AT1G08950	0
AT1G08960	208.50
AT1G08970	723
AT1G08980	1247
AT1G08985	0
AT1G08990	1.50
AT1G09000	75
AT1G09010	1169.50
AT1G09020	1056
AT1G09026	0
AT1G09030	0
AT1G09040	76
AT1G09050	126.50
AT1G09060	729
AT1G09070	4552.83
AT1G09080	912
AT1G09090	15.50
AT1G09100	739
AT1G09110	0
AT1G09130	3705
AT1G09140	1268
AT1G09150	590
AT1G09155	4
AT1G09157	0
AT1G09160	557.50
AT1G09170	60
AT1G09176	0
AT1G09180	45
AT1G09190	85
AT1G09195	214
AT1G09200	1710.75
AT1G09210	5703.50
AT1G09220	26.50
AT1G09230	209.50
AT1G09240	62
AT1G09245	0
AT1G09250	460
AT1G09260	0
AT1G09270	1309.75
AT1G09280	238.50
AT1G09290	122.50
AT1G09300	239
AT1G09310	15517.08
AT1G09320	110
AT1G09330	799.50
AT1G09340	21358.75
AT1G09350	13
AT1G09360	0
AT1G09370	1
AT1G09380	1
AT1G09390	176
AT1G09400	24
AT1G09410	18
AT1G09415	294.00
AT1G09420	67.00
AT1G09421	23.50
AT1G09430	1890.50
AT1G09440	173
AT1G09450	29
AT1G09460	23
AT1G09470	60.50
AT1G09480	75.00
AT1G09483	1
AT1G09490	659.00
AT1G09500	104
AT1G09510	0
AT1G09520	270.50
AT1G09530	278
AT1G09540	5
AT1G09550	0
AT1G09560	2453
AT1G09570	988
AT1G09575	57
AT1G09580	211.50
AT1G09590	2952.00
AT1G09600	25
AT1G09610	20.50
AT1G09620	2169
AT1G09625	0
AT1G09630	372
AT1G09640	4036
AT1G09645	430
AT1G09650	2
AT1G09660	632
AT1G09665	0
AT1G09680	72
AT1G09690	4871
AT1G09700	227.17
AT1G09710	96
AT1G09720	0
AT1G09730	621
AT1G09740	345
AT1G09750	2594.00
AT1G09760	673.33
AT1G09770	1534
AT1G09780	3950.83
AT1G09790	1
AT1G09794	61
AT1G09795	2384.50
AT1G09800	77
AT1G09810	164
AT1G09812	30
AT1G09815	358
AT1G09820	133.50
AT1G09830	918.50
AT1G09840	818
AT1G09850	856.33
AT1G09860	31
AT1G09870	579
AT1G09880	9
