Geneid	/blue/jkim6/share/braskey/data/ref5/HISAT2/H553.sam
AT1G05530	0
AT1G05540	129
AT1G05550	16
AT1G05560	518.33
AT1G05562	497.33
AT1G05570	2072.58
AT1G05575	56
AT1G05577	0
AT1G05580	0
AT1G05590	332.33
AT1G05600	116
AT1G05610	8
AT1G05615	1
AT1G05620	308.00
AT1G05630	925
AT1G05640	70
AT1G05650	0
AT1G05660	0
AT1G05670	131.83
AT1G05675	134
AT1G05680	3
AT1G05690	136.50
AT1G05700	0
AT1G05710	339.00
AT1G05720	404.83
AT1G05730	159.33
AT1G05740	1
AT1G05750	140.25
AT1G05760	29
AT1G05770	9
AT1G05780	75
AT1G05785	109.50
AT1G05790	466.83
AT1G05800	6.50
AT1G05805	723.00
AT1G05810	256.50
AT1G05820	28.50
AT1G05830	521.00
AT1G05835	151.50
AT1G05840	467
AT1G05850	11238.75
AT1G05860	182.50
AT1G05870	301
AT1G05880	50.50
AT1G05890	1181.75
AT1G05894	2
AT1G05900	371.00
AT1G05910	591.50
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	1010
AT1G05950	98.50
AT1G05960	1121.00
AT1G05970	85
AT1G05980	0
AT1G05990	0
AT1G06000	1535.83
AT1G06002	848.33
AT1G06010	120
AT1G06020	3
AT1G06030	0
AT1G06040	2792
AT1G06050	128
AT1G06060	477.83
AT1G06070	331.50
AT1G06080	53
AT1G06090	7
AT1G06100	147.50
AT1G06110	507.50
AT1G06120	0
AT1G06130	976.50
AT1G06135	0
AT1G06137	0
AT1G06140	30
AT1G06148	4
AT1G06149	284.17
AT1G06150	382.17
AT1G06160	56
AT1G06170	3
AT1G06180	186
AT1G06190	1372.50
AT1G06200	886
AT1G06210	500.50
AT1G06220	1233.50
AT1G06225	0
AT1G06230	895.50
AT1G06240	369.25
AT1G06250	41
AT1G06260	17
AT1G06265	36.50
AT1G06270	83
AT1G06280	0
AT1G06290	1484.17
AT1G06310	4.50
AT1G06320	0
AT1G06330	0
AT1G06340	0
AT1G06350	63
AT1G06360	839.50
AT1G06380	156
AT1G06390	1529.50
AT1G06400	977
AT1G06410	2214.00
AT1G06420	9
AT1G06430	3649.75
AT1G06440	40
AT1G06450	168.50
AT1G06460	3414.33
AT1G06470	642
AT1G06475	20
AT1G06480	0
AT1G06490	57.50
AT1G06500	145.00
AT1G06510	630.50
AT1G06515	323.75
AT1G06520	28.50
AT1G06530	861
AT1G06540	16
AT1G06550	598.50
AT1G06560	223.50
AT1G06570	671.50
AT1G06580	49
AT1G06590	152.83
AT1G06610	0
AT1G06620	487.50
AT1G06630	298.50
AT1G06640	2965.00
AT1G06645	368
AT1G06650	2106.33
AT1G06660	38
AT1G06670	749.33
AT1G06680	48191.17
AT1G06690	825.00
AT1G06700	1212.83
AT1G06710	96
AT1G06720	346
AT1G06730	316.50
AT1G06750	26.50
AT1G06760	2495.50
AT1G06770	156.50
AT1G06780	338.00
AT1G06790	204.17
AT1G06800	231.67
AT1G06810	0
AT1G06820	699.00
AT1G06830	112.50
AT1G06840	409.50
AT1G06850	199
AT1G06860	0
AT1G06870	521.50
AT1G06880	0
AT1G06890	1643.17
AT1G06900	756.50
AT1G06910	66
AT1G06920	1
AT1G06923	0
AT1G06925	0
AT1G06930	0
AT1G06950	3483.00
AT1G06960	214.50
AT1G06970	4
AT1G06980	24
AT1G06990	0
AT1G07000	1891.83
AT1G07010	1652
AT1G07020	307.50
AT1G07025	0
AT1G07030	526
AT1G07040	957.50
AT1G07050	634.50
AT1G07051	0
AT1G07060	5
AT1G07070	117.50
AT1G07080	2076.33
AT1G07090	373.50
AT1G07100	0
AT1G07110	2244
AT1G07119	23
AT1G07120	32
AT1G07128	70.50
AT1G07130	76.50
AT1G07135	197.50
AT1G07140	3552
AT1G07150	55
AT1G07160	9
AT1G07170	262.50
AT1G07175	4
AT1G07180	844.33
AT1G07190	0
AT1G07200	642
AT1G07210	568
AT1G07220	538.50
AT1G07230	878.83
AT1G07240	626
AT1G07250	771.50
AT1G07260	49.50
AT1G07270	29
AT1G07280	2284
AT1G07290	32
AT1G07300	85.50
AT1G07310	578
AT1G07320	6417.50
AT1G07330	2
AT1G07340	0.50
AT1G07350	500
AT1G07360	725
AT1G07370	318.50
AT1G07380	156.00
AT1G07390	62
AT1G07400	42
AT1G07410	51
AT1G07420	522
AT1G07430	25
AT1G07440	780
AT1G07450	28
AT1G07460	0
AT1G07470	518.75
AT1G07473	7
AT1G07476	8
AT1G07480	505.83
AT1G07485	10.50
AT1G07490	10.50
AT1G07500	1
AT1G07510	649
AT1G07520	189.50
AT1G07530	655
AT1G07540	0
AT1G07550	0
AT1G07560	0
AT1G07570	249.50
AT1G07580	0
AT1G07590	3180.94
AT1G07600	2656.78
AT1G07610	206.33
AT1G07615	128
AT1G07620	433.50
AT1G07630	789
AT1G07640	669.50
AT1G07645	0
AT1G07650	1706.17
AT1G07660	253
AT1G07670	1424.50
AT1G07680	0
AT1G07690	0
AT1G07700	1409.00
AT1G07702	38.50
AT1G07705	520.00
AT1G07710	5
AT1G07720	1664.50
AT1G07725	146.92
AT1G07728	146.92
AT1G07730	18
AT1G07740	55
AT1G07745	109
AT1G07747	1
AT1G07750	471
AT1G07760	0
AT1G07770	3133.16
AT1G07780	413.08
AT1G07790	634
AT1G07795	0
AT1G07810	937.50
AT1G07820	968.50
AT1G07830	184
AT1G07840	310.50
AT1G07850	0
AT1G07860	0
AT1G07870	374.50
AT1G07880	75
AT1G07885	1
AT1G07890	18180.67
AT1G07900	191
AT1G07901	51
AT1G07910	297.50
AT1G07920	8718.27
AT1G07930	8210.11
AT1G07940	6828.88
AT1G07950	347.50
AT1G07960	563.28
AT1G07970	257
AT1G07980	303.50
AT1G07985	5
AT1G07990	908
AT1G08000	223.50
AT1G08005	4
AT1G08010	305
AT1G08030	342
AT1G08032	0
AT1G08035	4.33
AT1G08040	428
AT1G08050	609.25
AT1G08060	380
AT1G08065	0
AT1G08070	36
AT1G08080	0
AT1G08090	14
AT1G08100	0
AT1G08110	1768.67
AT1G08115	0
AT1G08120	3.50
AT1G08125	217.50
AT1G08130	399.25
AT1G08135	0
AT1G08140	0
AT1G08150	0
AT1G08160	73
AT1G08165	13
AT1G08170	2
AT1G08180	111
AT1G08190	2254.33
AT1G08200	4446.33
AT1G08210	353.83
AT1G08220	127
AT1G08230	252.50
AT1G08240	0
AT1G08250	448.50
AT1G08260	236.50
AT1G08270	39.67
AT1G08280	155
AT1G08290	35
AT1G08300	86
AT1G08310	20.83
AT1G08315	230.33
AT1G08320	1.33
AT1G08340	15
AT1G08350	168.50
AT1G08360	2840
AT1G08370	667
AT1G08380	20889.00
AT1G08390	96
AT1G08400	135
AT1G08410	259
AT1G08420	1517
AT1G08430	0
AT1G08440	5.50
AT1G08450	9483.08
AT1G08460	559
AT1G08465	319.50
AT1G08470	377.50
AT1G08480	939.50
AT1G08490	1077
AT1G08500	49
AT1G08510	2403.25
AT1G08520	3999.50
AT1G08530	459.33
AT1G08540	1928.50
AT1G08550	1484.50
AT1G08560	206.50
AT1G08570	1656.67
AT1G08580	589
AT1G08590	81.33
AT1G08592	45.33
AT1G08600	435
AT1G08610	77
AT1G08620	555.33
AT1G08630	11
AT1G08640	1974.00
AT1G08650	2137.67
AT1G08660	437.50
AT1G08670	0
AT1G08680	642
AT1G08695	0
AT1G08700	598.83
AT1G08710	148
AT1G08720	789
AT1G08730	19
AT1G08750	269.00
AT1G08760	256
AT1G08770	433.67
AT1G08780	195
AT1G08790	0
AT1G08800	420.83
AT1G08810	174
AT1G08820	916
AT1G08830	5658.17
AT1G08840	909.17
AT1G08845	130
AT1G08860	33
AT1G08870	0
AT1G08880	1557
AT1G08890	245.50
AT1G08900	541.33
AT1G08910	363.50
AT1G08920	425
AT1G08930	4861.25
AT1G08940	157.50
AT1G08950	0
AT1G08960	236.50
AT1G08970	853
AT1G08980	1357
AT1G08985	0
AT1G08990	0
AT1G09000	63.50
AT1G09010	1235
AT1G09020	1116.83
AT1G09026	0
AT1G09030	0
AT1G09040	67.25
AT1G09050	92.75
AT1G09060	824.50
AT1G09070	6634.00
AT1G09080	1197
AT1G09090	7.50
AT1G09100	641.50
AT1G09110	0
AT1G09130	3541.50
AT1G09140	1046.17
AT1G09150	584
AT1G09155	3.50
AT1G09157	1
AT1G09160	638
AT1G09170	35
AT1G09176	1
AT1G09180	61.50
AT1G09190	77
AT1G09195	165
AT1G09200	1522.17
AT1G09210	6403.25
AT1G09220	34.50
AT1G09230	231.50
AT1G09240	78
AT1G09245	0
AT1G09250	392.17
AT1G09260	0
AT1G09270	1217.17
AT1G09280	296.33
AT1G09290	151
AT1G09300	245
AT1G09310	9064.75
AT1G09320	115
AT1G09330	666
AT1G09340	15273.00
AT1G09350	26
AT1G09360	0
AT1G09370	4
AT1G09380	2
AT1G09390	202.83
AT1G09400	7.33
AT1G09410	24
AT1G09415	232
AT1G09420	40.50
AT1G09421	19
AT1G09430	2063.33
AT1G09440	205.50
AT1G09450	61.33
AT1G09460	13.50
AT1G09470	65.50
AT1G09480	47
AT1G09483	0
AT1G09490	584.00
AT1G09500	120
AT1G09510	1.50
AT1G09520	313.17
AT1G09530	233
AT1G09540	4
AT1G09550	0.50
AT1G09560	3005.17
AT1G09570	990.50
AT1G09575	39
AT1G09580	190
AT1G09590	2886.58
AT1G09600	12
AT1G09610	17.50
AT1G09620	2094.50
AT1G09625	0
AT1G09630	288.75
AT1G09640	4679.50
AT1G09645	372
AT1G09650	14
AT1G09660	589.50
AT1G09665	0
AT1G09680	62.50
AT1G09690	4311.17
AT1G09700	238.83
AT1G09710	86
AT1G09720	0
AT1G09730	536.50
AT1G09740	399.50
AT1G09750	2745.50
AT1G09760	716
AT1G09770	1544.00
AT1G09780	2536
AT1G09790	0
AT1G09794	52
AT1G09795	1657.17
AT1G09800	49.50
AT1G09810	237
AT1G09812	9
AT1G09815	202.50
AT1G09820	91
AT1G09830	935.50
AT1G09840	910.50
AT1G09850	697.00
AT1G09860	50.50
AT1G09870	503.50
AT1G09880	4
AT1G09890	26
AT1G09900	315.50
AT1G09910	369
AT1G09920	647
AT1G09930	25
AT1G09932	1645.94
AT1G09935	36
AT1G09940	686.17
AT1G09950	25
AT1G09960	49.50
AT1G09970	5007.17
AT1G09980	743
AT1G09995	85.50
AT1G10000	20
AT1G10010	0
AT1G10020	678.50
AT1G10030	177
AT1G10040	156.33
AT1G10050	420.50
AT1G10060	148
AT1G10070	131
AT1G10090	915.50
AT1G10095	90
AT1G10100	0
AT1G10110	11
AT1G10120	281
AT1G10130	964.50
AT1G10140	165.50
AT1G10150	306.67
AT1G10155	10.50
AT1G10170	963
AT1G10180	325.50
AT1G10190	0
AT1G10200	1395.83
AT1G10210	198.50
AT1G10220	4
AT1G10230	156.50
AT1G10240	163.50
AT1G10250	0
AT1G10270	228.50
AT1G10280	221.50
AT1G10290	2230.08
AT1G10300	0
AT1G10310	468
AT1G10320	200.50
AT1G10330	35
AT1G10340	678.50
AT1G10350	439.17
AT1G10360	879.50
AT1G10370	608.50
AT1G10380	103
AT1G10385	0
AT1G10390	1466.11
AT1G10400	1
AT1G10410	974.50
AT1G10417	42
AT1G10430	687.50
AT1G10440	0
AT1G10450	377
AT1G10455	0.33
AT1G10460	31
AT1G10470	2731.33
AT1G10480	2
AT1G10490	819.83
AT1G10500	1214.33
AT1G10510	1034
AT1G10520	25
AT1G10522	541
AT1G10530	12.50
AT1G10540	18
AT1G10550	46.50
AT1G10560	46
AT1G10570	428
AT1G10580	559
AT1G10585	34
AT1G10586	1
AT1G10588	0
AT1G10590	1649
AT1G10600	317.00
AT1G10610	76
AT1G10620	0
AT1G10630	1356.67
AT1G10640	212.50
AT1G10650	495.50
AT1G10652	0
AT1G10657	130.50
AT1G10660	882.50
AT1G10670	3853.00
AT1G10680	1
AT1G10682	73
AT1G10690	82
AT1G10700	750
AT1G10710	7
AT1G10717	0
AT1G10720	381.25
AT1G10730	191.62
AT1G10740	609.50
AT1G10745	0
AT1G10747	0
AT1G10750	24
AT1G10760	5833.08
AT1G10770	5
AT1G10780	73
AT1G10790	13
AT1G10800	9
AT1G10810	2
AT1G10820	297.42
AT1G10830	571.00
AT1G10840	1760
AT1G10850	310
AT1G10865	343.00
AT1G10870	270
AT1G10880	0
AT1G10890	608.50
AT1G10900	600
AT1G10910	714.75
AT1G10920	236.50
AT1G10930	358
AT1G10940	2057.17
AT1G10950	2065.67
AT1G10960	8236.67
AT1G10970	74
AT1G10980	27.50
AT1G10990	84
AT1G11000	100
AT1G11010	0
AT1G11020	258.50
AT1G11030	0
AT1G11040	0
AT1G11050	410.50
AT1G11060	233.50
AT1G11070	3
AT1G11080	48.00
AT1G11090	244.50
AT1G11100	41
AT1G11110	0
AT1G11112	21
AT1G11120	49.50
AT1G11125	12
AT1G11130	245.50
AT1G11145	0
AT1G11160	44
AT1G11170	76
AT1G11175	144.25
AT1G11180	241.25
AT1G11185	4
AT1G11190	38
AT1G11200	407
AT1G11210	316.67
AT1G11220	27
AT1G11230	0
AT1G11240	340.50
AT1G11250	1
AT1G11260	1597.67
AT1G11270	56
AT1G11280	297.08
AT1G11290	152.50
AT1G11300	482
AT1G11310	5281.00
AT1G11320	105
AT1G11330	1921.50
AT1G11340	65
AT1G11350	877.50
AT1G11360	409.50
AT1G11362	1
AT1G11370	0
AT1G11380	109
AT1G11390	388.50
AT1G11400	230.50
AT1G11410	409.50
AT1G11420	36
AT1G11430	2650
AT1G11440	327
AT1G11450	22
AT1G11460	0
AT1G11470	0.67
AT1G11475	388.50
AT1G11480	1088.50
AT1G11490	1
AT1G11500	0
AT1G11510	0
AT1G11520	0
AT1G11530	500.50
AT1G11540	27.50
AT1G11545	301
AT1G11550	0
AT1G11560	1
AT1G11570	8
AT1G11572	3
AT1G11580	1656.17
AT1G11590	0
AT1G11592	119
AT1G11593	0
